nombre,direccion,href
IPS Linares,Independencia 667,"https://www.google.com/maps/dir/-35.8469606,-71.5955906/@-35.8469606,-71.5955906,17z"
IPS Llanquihue,O´Higgins 422,https://www.google.com/maps/dir/O%C2%B4Higgins%20422
IPS Lo Prado,San Pablo 5849,"https://www.google.com/maps/dir/-33.4433088,-70.7183812/@-33.4433088,-70.7183812,17z"
IPS Lo Prado,San Pablo 5849,"https://www.google.com/maps/dir/-33.4433088,-70.7183812/@-33.4433088,-70.7183812,17z"
IPS Lolol,Calle Los Alerces 85,https://www.google.com/maps/dir/Calle%20Los%20Alerces%2085
IPS Loncoche,Pedro Montt 618 - Local 3,https://www.google.com/maps/dir/Pedro%20Montt%20618%20-%20Local%203
IPS Los Andes,O´Higgins Nº 243,https://www.google.com/maps/dir/O%C2%B4Higgins%20%20N%C2%BA%20243
IPS Los Angeles,Av. Ricardo Vicuña 363,"https://www.google.com/maps/dir/-37.472399,-72.3525657/@-37.472399,-72.3525657,17z"
IPS Los Lagos,Avda. Matta 143,https://www.google.com/maps/dir/Avda.%20Matta%20143
IPS Los Muermos,Bernardo O'Higgins 111,https://www.google.com/maps/dir/Bernardo%20O'Higgins%20111
IPS Los Vilos,Calle Lincoyan N° 280,https://www.google.com/maps/dir/Calle%20Lincoyan%20N%C2%B0%20280
IPS Lota,Caupolicán 545,"https://www.google.com/maps/dir/-37.090296,-73.1570177/@-37.090296,-73.1570177,17z"
IPS Mafil,O'Higgins con chacabuco,https://www.google.com/maps/dir/O'Higgins%20con%20chacabuco
IPS Maipú,Avda. Pajaritos 629,"https://www.google.com/maps/dir/-33.5211535,-70.7594227/@-33.5211535,-70.7594227,17z"
IPS Marchihue,Laureno Cornejo S/N° INDAP,"https://www.google.com/maps/dir/-34.399127,-71.6195683/@-34.399127,-71.6195683,17z"
IPS Maullín,Mac Iver 196,https://www.google.com/maps/dir/Mac%20Iver%20196
IPS Mejillones,Avda. Bernado O´higgins #451,"https://www.google.com/maps/dir/-23.1020007,-70.4488809/@-23.1020007,-70.4488809,17z"
IPS Monte Patria,Calle Lautaro S/N°,https://www.google.com/maps/dir/Calle%20Lautaro%20S/N%C2%B0
IPS Mulchen,Aníbal Pinto 383,"https://www.google.com/maps/dir/-37.720436,-72.2474384/@-37.720436,-72.2474384,17z"
IPS Nacimiento,Freire 436,"https://www.google.com/maps/dir/-37.5024176,-72.673563/@-37.5024176,-72.673563,17z"
IPS Nueva Imperial,Arturo Prat 281,"https://www.google.com/maps/dir/-38.7445251,-72.9549224/@-38.7445251,-72.9549224,17z"
IPS Nuñoa,Avda. José Pedro Alessandri 211,"https://www.google.com/maps/dir/-33.4567459,-70.6003344/@-33.4567459,-70.6003344,17z"
IPS Osorno,Juan Mackenna 930 - Piso 1,https://www.google.com/maps/dir/Juan%20Mackenna%20930%20-%20Piso%201
IPS Ovalle,Calle Vicuña Mackena N° 626,https://www.google.com/maps/dir/Calle%20Vicu%C3%B1a%20Mackena%20N%C2%B0%20626
IPS Padre Hurtado,Camino Melipilla 3292,"https://www.google.com/maps/dir/-33.5757893,-70.8239818/@-33.5757893,-70.8239818,17z"
IPS Padre Las Casas,Manquehue 850,https://www.google.com/maps/dir/Manquehue%20850
IPS Paillaco,Vicuña Mackenna 199,https://www.google.com/maps/dir/Vicu%C3%B1a%20Mackenna%20199
IPS Palena,Esmeralda 621,https://www.google.com/maps/dir/Esmeralda%20621
IPS Panguipulli,Edificio Obras Públicas S/N,https://www.google.com/maps/dir/Edificio%20Obras%20P%C3%BAblicas%20S/N
IPS Paredones,Avda. Dr. Moore 15,"https://www.google.com/maps/dir/-34.646469,-71.9016329/@-34.646469,-71.9016329,17z"
IPS Pelluhue,Padre Samuel Jofré 415,https://www.google.com/maps/dir/Padre%20Samuel%20Jofr%C3%A9%20415
IPS Peñalolén,Avda.. Las Torres 5555,"https://www.google.com/maps/dir/-33.5024016,-70.5798054/@-33.5024016,-70.5798054,17z"
IPS Pitrufquén,Avda. Dos de Enero 882,https://www.google.com/maps/dir/Avda.%20Dos%20de%20Enero%20882
IPS Porvenir,Muñoz Gamero 366,https://www.google.com/maps/dir/Mu%C3%B1oz%20Gamero%20366
IPS Pozo Almonte,Aldunate N° 310,"https://www.google.com/maps/dir/-20.2581514,-69.7879789/@-20.2581514,-69.7879789,17z"
IPS Providencia,Holanda 254,"https://www.google.com/maps/dir/-33.4214989,-70.6053145/@-33.4214989,-70.6053145,17z"
IPS Puchuncavi,Avenida Bernardo O´Higgins Nº 70,https://www.google.com/maps/dir/Avenida%20Bernardo%20O%C2%B4Higgins%20N%C2%BA%2070
IPS Puente Alto,Santo Domingo 481,"https://www.google.com/maps/dir/-33.6077838,-70.5796866/@-33.6077838,-70.5796866,17z"
IPS Puerto Aysén,Caupolicán 578,https://www.google.com/maps/dir/Caupolic%C3%A1n%20578
IPS Puerto Cisnes,Gabriela Mistral 595,https://www.google.com/maps/dir/Gabriela%20Mistral%20595
IPS Puerto Montt,Urmeneta 509 - Piso 1,https://www.google.com/maps/dir/Urmeneta%20509%20-%20Piso%201
IPS Puerto Natales,Magallanes 103,"https://www.google.com/maps/dir/-51.7263943,-72.5112494/@-51.7263943,-72.5112494,17z"
IPS Puerto Varas,San Pedro 237,https://www.google.com/maps/dir/San%20Pedro%20237
IPS Puerto Williams,O'Higgins 187,https://www.google.com/maps/dir/O'Higgins%20187
IPS Punitaqui,"Lautaro S/N°, Edificio Municipal","https://www.google.com/maps/dir/Lautaro%20S/N%C2%B0,%20Edificio%20Municipal"
IPS Punta Arenas,Pedro Montt 895,https://www.google.com/maps/dir/Pedro%20Montt%20%20895
IPS Puren,Quiroga 330,https://www.google.com/maps/dir/Quiroga%20330
IPS Purranque,21 de Mayo 271,https://www.google.com/maps/dir/21%20de%20Mayo%20271
IPS Putre,Jose Miguel Carrera N °350,"https://www.google.com/maps/dir/-18.1969698,-69.5684821/@-18.1969698,-69.5684821,17z"
IPS Puyehue,Tomas Glavez Wilson N° 2,https://www.google.com/maps/dir/Tomas%20Glavez%20Wilson%20N%C2%B0%202
IPS Quellón,Freire 424,https://www.google.com/maps/dir/Freire%20424
IPS Quilicura,Guardia Marina Riquelme 489,"https://www.google.com/maps/dir/-33.3700587,-70.7340029/@-33.3700587,-70.7340029,17z"
IPS Quillota,Calle Maipú N° 526,https://www.google.com/maps/dir/Calle%20Maip%C3%BA%20N%C2%B0%20526
IPS Quilpue,Calle Esmeralda N° 659,https://www.google.com/maps/dir/Calle%20Esmeralda%20N%C2%B0%20659
IPS Quintero,Avenida Normandie N° 2680 Local 2,https://www.google.com/maps/dir/Avenida%20Normandie%20N%C2%B0%202680%20Local%202
